section,category,description,region,date,metric,value
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-28,Confirmed COVID-19,784
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-29,Confirmed COVID-19,782
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-04-30,Confirmed COVID-19,756
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-01,Confirmed COVID-19,737
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-02,Confirmed COVID-19,737
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-03,Confirmed COVID-19,722
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-04,Confirmed COVID-19,689
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-05,Confirmed COVID-19,650
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-06,Confirmed COVID-19,636
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-07,Confirmed COVID-19,628
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-08,Confirmed COVID-19,610
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-09,Confirmed COVID-19,586
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-10,Confirmed COVID-19,573
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-11,Confirmed COVID-19,557
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-12,Confirmed COVID-19,563
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-13,Confirmed COVID-19,522
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-14,Confirmed COVID-19,514
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-15,Confirmed COVID-19,497
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-16,Confirmed COVID-19,517
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-17,Confirmed COVID-19,486
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-18,Confirmed COVID-19,460
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-19,Confirmed COVID-19,463
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-20,Confirmed COVID-19,466
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-21,Confirmed COVID-19,445
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-22,Confirmed COVID-19,444
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-23,Confirmed COVID-19,426
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-24,Confirmed COVID-19,409
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-25,Confirmed COVID-19,397
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-26,Confirmed COVID-19,367
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-27,Confirmed COVID-19,362
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-28,Confirmed COVID-19,335
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-29,Confirmed COVID-19,321
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-30,Confirmed COVID-19,308
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-05-31,Confirmed COVID-19,297
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-01,Confirmed COVID-19,272
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-02,Confirmed COVID-19,268
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-03,Confirmed COVID-19,261
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-04,Confirmed COVID-19,231
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-05,Confirmed COVID-19,215
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-06,Confirmed COVID-19,207
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-07,Confirmed COVID-19,204
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-08,Confirmed COVID-19,198
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-09,Confirmed COVID-19,180
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-10,Confirmed COVID-19,182
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-11,Confirmed COVID-19,168
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-12,Confirmed COVID-19,167
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-13,Confirmed COVID-19,166
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-14,Confirmed COVID-19,162
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-15,Confirmed COVID-19,166
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-16,Confirmed COVID-19,158
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-17,Confirmed COVID-19,164
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-18,Confirmed COVID-19,151
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-19,Confirmed COVID-19,156
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-20,Confirmed COVID-19,151
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-21,Confirmed COVID-19,160
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-22,Confirmed COVID-19,149
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-23,Confirmed COVID-19,141
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-24,Confirmed COVID-19,134
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-25,Confirmed COVID-19,135
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-26,Confirmed COVID-19,129
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-27,Confirmed COVID-19,126
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-28,Confirmed COVID-19,135
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-29,Confirmed COVID-19,132
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-06-30,Confirmed COVID-19,139
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-01,Confirmed COVID-19,144
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-02,Confirmed COVID-19,147
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-03,Confirmed COVID-19,147
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-04,Confirmed COVID-19,155
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-05,Confirmed COVID-19,171
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-06,Confirmed COVID-19,165
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-07,Confirmed COVID-19,173
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-08,Confirmed COVID-19,184
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-09,Confirmed COVID-19,202
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-10,Confirmed COVID-19,211
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-11,Confirmed COVID-19,215
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-12,Confirmed COVID-19,220
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-13,Confirmed COVID-19,220
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-14,Confirmed COVID-19,252
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-15,Confirmed COVID-19,247
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-16,Confirmed COVID-19,260
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-17,Confirmed COVID-19,273
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-18,Confirmed COVID-19,268
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-19,Confirmed COVID-19,273
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-20,Confirmed COVID-19,275
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-21,Confirmed COVID-19,248
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-22,Confirmed COVID-19,247
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-23,Confirmed COVID-19,237
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-24,Confirmed COVID-19,247
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-25,Confirmed COVID-19,246
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-26,Confirmed COVID-19,241
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-27,Confirmed COVID-19,250
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-28,Confirmed COVID-19,251
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-29,Confirmed COVID-19,244
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-30,Confirmed COVID-19,239
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-07-31,Confirmed COVID-19,232
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-01,Confirmed COVID-19,218
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-02,Confirmed COVID-19,221
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-03,Confirmed COVID-19,209
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-04,Confirmed COVID-19,202
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-05,Confirmed COVID-19,203
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-06,Confirmed COVID-19,203
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-07,Confirmed COVID-19,201
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-08,Confirmed COVID-19,212
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-09,Confirmed COVID-19,207
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-10,Confirmed COVID-19,185
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-11,Confirmed COVID-19,184
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-12,Confirmed COVID-19,184
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-13,Confirmed COVID-19,172
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-14,Confirmed COVID-19,170
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-15,Confirmed COVID-19,167
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-16,Confirmed COVID-19,167
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-17,Confirmed COVID-19,163
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-18,Confirmed COVID-19,153
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-19,Confirmed COVID-19,151
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-20,Confirmed COVID-19,146
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-21,Confirmed COVID-19,156
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-22,Confirmed COVID-19,148
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-23,Confirmed COVID-19,157
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-24,Confirmed COVID-19,143
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-25,Confirmed COVID-19,137
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-26,Confirmed COVID-19,146
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-27,Confirmed COVID-19,131
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-28,Confirmed COVID-19,134
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-29,Confirmed COVID-19,140
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-30,Confirmed COVID-19,140
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-08-31,Confirmed COVID-19,148
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-01,Confirmed COVID-19,144
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-02,Confirmed COVID-19,145
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-03,Confirmed COVID-19,136
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-04,Confirmed COVID-19,132
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-05,Confirmed COVID-19,139
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-06,Confirmed COVID-19,146
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-07,Confirmed COVID-19,139
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-08,Confirmed COVID-19,137
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-09,Confirmed COVID-19,141
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-10,Confirmed COVID-19,141
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-11,Confirmed COVID-19,142
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-12,Confirmed COVID-19,136
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-13,Confirmed COVID-19,136
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-14,Confirmed COVID-19,138
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-15,Confirmed COVID-19,139
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-16,Confirmed COVID-19,134
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-17,Confirmed COVID-19,138
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-18,Confirmed COVID-19,147
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-19,Confirmed COVID-19,144
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-20,Confirmed COVID-19,150
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-21,Confirmed COVID-19,152
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-22,Confirmed COVID-19,148
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-23,Confirmed COVID-19,158
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-24,Confirmed COVID-19,167
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-25,Confirmed COVID-19,171
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-26,Confirmed COVID-19,186
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-27,Confirmed COVID-19,177
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-28,Confirmed COVID-19,177
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-29,Confirmed COVID-19,174
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-09-30,Confirmed COVID-19,178
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-01,Confirmed COVID-19,200
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-02,Confirmed COVID-19,219
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-03,Confirmed COVID-19,205
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-04,Confirmed COVID-19,213
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-05,Confirmed COVID-19,233
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-06,Confirmed COVID-19,246
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-07,Confirmed COVID-19,244
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-08,Confirmed COVID-19,256
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-09,Confirmed COVID-19,268
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-10,Confirmed COVID-19,265
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-11,Confirmed COVID-19,284
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-12,Confirmed COVID-19,288
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-13,Confirmed COVID-19,290
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-14,Confirmed COVID-19,317
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-15,Confirmed COVID-19,329
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-16,Confirmed COVID-19,352
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-17,Confirmed COVID-19,337
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-18,Confirmed COVID-19,348
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-19,Confirmed COVID-19,381
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-20,Confirmed COVID-19,417
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-21,Confirmed COVID-19,435
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-22,Confirmed COVID-19,446
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-23,Confirmed COVID-19,458
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-24,Confirmed COVID-19,507
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-25,Confirmed COVID-19,515
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-26,Confirmed COVID-19,513
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-27,Confirmed COVID-19,538
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-28,Confirmed COVID-19,596
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-29,Confirmed COVID-19,622
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-30,Confirmed COVID-19,663
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-10-31,Confirmed COVID-19,687
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-01,Confirmed COVID-19,686
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-02,Confirmed COVID-19,755
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-03,Confirmed COVID-19,814
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-04,Confirmed COVID-19,847
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-05,Confirmed COVID-19,894
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-06,Confirmed COVID-19,936
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-07,Confirmed COVID-19,985
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-08,Confirmed COVID-19,1023
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-09,Confirmed COVID-19,1060
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-10,Confirmed COVID-19,1116
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-11,Confirmed COVID-19,1169
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-12,Confirmed COVID-19,1183
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-13,Confirmed COVID-19,1159
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-14,Confirmed COVID-19,1187
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-15,Confirmed COVID-19,1278
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-16,Confirmed COVID-19,1294
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-17,Confirmed COVID-19,1378
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-18,Confirmed COVID-19,1428
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-19,Confirmed COVID-19,1500
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-20,Confirmed COVID-19,1564
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-21,Confirmed COVID-19,1563
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-22,Confirmed COVID-19,1539
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-23,Confirmed COVID-19,1597
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-24,Confirmed COVID-19,1613
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-25,Confirmed COVID-19,1652
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-26,Confirmed COVID-19,1665
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-27,Confirmed COVID-19,1682
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-28,Confirmed COVID-19,1725
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-29,Confirmed COVID-19,1749
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-11-30,Confirmed COVID-19,1834
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-01,Confirmed COVID-19,1847
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-02,Confirmed COVID-19,1841
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-03,Confirmed COVID-19,1796
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-04,Confirmed COVID-19,1740
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-05,Confirmed COVID-19,1685
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-06,Confirmed COVID-19,1633
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-07,Confirmed COVID-19,1643
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-08,Confirmed COVID-19,1629
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-09,Confirmed COVID-19,1565
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-10,Confirmed COVID-19,1545
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-11,Confirmed COVID-19,1559
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-12,Confirmed COVID-19,1514
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-13,Confirmed COVID-19,1513
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-14,Confirmed COVID-19,1466
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-15,Confirmed COVID-19,1445
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-16,Confirmed COVID-19,1428
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-17,Confirmed COVID-19,1403
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-18,Confirmed COVID-19,1370
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-19,Confirmed COVID-19,1331
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-20,Confirmed COVID-19,1293
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-21,Confirmed COVID-19,1253
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-22,Confirmed COVID-19,1243
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-23,Confirmed COVID-19,1222
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-24,Confirmed COVID-19,1163
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-25,Confirmed COVID-19,1091
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-26,Confirmed COVID-19,1110
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-27,Confirmed COVID-19,1091
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-28,Confirmed COVID-19,1094
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-29,Confirmed COVID-19,1086
Hospital Data,Hospital Level,Currently Hospitalized,Colorado,2020-12-30,Confirmed COVID-19,1045
