section,category,description,date,metric,value
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-15,Total Acute Care Hospital Beds,8090
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-15,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-15,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,ICU Hospital Beds in Use,1208
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,Total ICU Hospital Beds,1825
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,Acute Care Hospital Beds in Use,5563
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,Total Acute Care Hospital Beds,8153
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-16,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,ICU Hospital Beds in Use,1204
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,Total ICU Hospital Beds,1825
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,Acute Care Hospital Beds in Use,5579
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,Total Acute Care Hospital Beds,8205
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-17,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,ICU Hospital Beds in Use,1188
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,Total ICU Hospital Beds,1829
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,7-Day Average of Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,Acute Care Hospital Beds in Use,5496
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,Total Acute Care Hospital Beds,8205
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-18,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,ICU Hospital Beds in Use,1190
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,Total ICU Hospital Beds,1845
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,Percent of ICU Hospital Beds in Use,0.64
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,7-Day Average of Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,Acute Care Hospital Beds in Use,5485
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,Total Acute Care Hospital Beds,8205
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-19,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,ICU Hospital Beds in Use,1163
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,Total ICU Hospital Beds,1845
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,Percent of ICU Hospital Beds in Use,0.63
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,7-Day Average of Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,Acute Care Hospital Beds in Use,5494
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,Total Acute Care Hospital Beds,8211
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,Percent of Acute Care Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-20,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,ICU Hospital Beds in Use,1247
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,Total ICU Hospital Beds,1845
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,7-Day Average of Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,Acute Care Hospital Beds in Use,5686
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,Total Acute Care Hospital Beds,8219
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-21,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,ICU Hospital Beds in Use,1249
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,Total ICU Hospital Beds,1845
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,7-Day Average of Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,Acute Care Hospital Beds in Use,5800
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,Total Acute Care Hospital Beds,8219
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-22,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,ICU Hospital Beds in Use,1259
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,Total ICU Hospital Beds,1895
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,7-Day Average of Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,Acute Care Hospital Beds in Use,5805
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,Total Acute Care Hospital Beds,8171
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-23,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,ICU Hospital Beds in Use,1278
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,Total ICU Hospital Beds,1895
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,7-Day Average of Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,Acute Care Hospital Beds in Use,5831
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,Total Acute Care Hospital Beds,8171
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-24,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,ICU Hospital Beds in Use,1282
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,Total ICU Hospital Beds,1895
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,7-Day Average of Percent of ICU Hospital Beds in Use,0.66
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,Acute Care Hospital Beds in Use,5757
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,Total Acute Care Hospital Beds,8200
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-25,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,ICU Hospital Beds in Use,1265
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,Total ICU Hospital Beds,1895
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,Acute Care Hospital Beds in Use,5657
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,Total Acute Care Hospital Beds,8200
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-26,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,ICU Hospital Beds in Use,1271
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,Total ICU Hospital Beds,1941
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,Percent of ICU Hospital Beds in Use,0.65
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,Acute Care Hospital Beds in Use,5563
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,Total Acute Care Hospital Beds,8135
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,Percent of Acute Care Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-27,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,ICU Hospital Beds in Use,1339
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,Total ICU Hospital Beds,1965
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,Acute Care Hospital Beds in Use,5694
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-28,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,ICU Hospital Beds in Use,1327
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,Total ICU Hospital Beds,1967
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,Acute Care Hospital Beds in Use,5831
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,Percent of Acute Care Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-29,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,ICU Hospital Beds in Use,1362
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,Total ICU Hospital Beds,1967
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,7-Day Average of Percent of ICU Hospital Beds in Use,0.67
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,Acute Care Hospital Beds in Use,5860
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,Percent of Acute Care Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,2020-04-30,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,ICU Hospital Beds in Use,1373
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,Total ICU Hospital Beds,1967
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,Percent of ICU Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,Acute Care Hospital Beds in Use,5801
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-01,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,ICU Hospital Beds in Use,1363
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,Total ICU Hospital Beds,1967
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,Acute Care Hospital Beds in Use,5767
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-02,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,ICU Hospital Beds in Use,1356
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,Total ICU Hospital Beds,1967
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,7-Day Average of Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,Acute Care Hospital Beds in Use,5614
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,Total Acute Care Hospital Beds,8136
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-03,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.7
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,ICU Hospital Beds in Use,1326
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,Total ICU Hospital Beds,1950
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,Acute Care Hospital Beds in Use,5662
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,Total Acute Care Hospital Beds,8166
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,Percent of Acute Care Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-04,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,ICU Hospital Beds in Use,1337
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,Total ICU Hospital Beds,1950
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,Acute Care Hospital Beds in Use,5798
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,Total Acute Care Hospital Beds,8138
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-05,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,ICU Hospital Beds in Use,1329
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,Total ICU Hospital Beds,1941
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,Acute Care Hospital Beds in Use,5902
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,Total Acute Care Hospital Beds,8138
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,Percent of Acute Care Hospital Beds in Use,0.73
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-06,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,ICU Hospital Beds in Use,1319
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,Total ICU Hospital Beds,1941
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,Acute Care Hospital Beds in Use,5884
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,Total Acute Care Hospital Beds,8138
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,Percent of Acute Care Hospital Beds in Use,0.72
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-07,7-Day Average of Percent of Acute Care Hospital Beds in Use,0.71
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,ICU Hospital Beds in Use,1310
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,Total ICU Hospital Beds,1916
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,Percent of ICU Hospital Beds in Use,0.68
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,7-Day Average of Percent of ICU Hospital Beds in Use,0.69
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,Acute Care Hospital Beds in Use,5833
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,Total Acute Care Hospital Beds,8132
Hospital Data,Hospital Level,Hospital Bed Use,2020-05-08,Percent of Acute Care Hospital Beds in Use,0.72
